Region,Country,Year,Gender,SuicideCount
AMERICA,UNITED STATES OF AMERICA,1999,Female,5741
AMERICA,UNITED STATES OF AMERICA,2000,Male,23618
AMERICA,UNITED STATES OF AMERICA,2000,Female,5732
AMERICA,UNITED STATES OF AMERICA,2001,Male,24672
AMERICA,UNITED STATES OF AMERICA,2001,Female,5950
AMERICA,UNITED STATES OF AMERICA,2002,Male,25409
AMERICA,UNITED STATES OF AMERICA,2002,Female,6246
AMERICA,UNITED STATES OF AMERICA,2003,Male,25203
AMERICA,UNITED STATES OF AMERICA,2003,Female,6281
AMERICA,UNITED STATES OF AMERICA,2004,Male,25566
AMERICA,UNITED STATES OF AMERICA,2004,Female,6873
AMERICA,UNITED STATES OF AMERICA,2005,Male,25907
AMERICA,UNITED STATES OF AMERICA,2005,Female,6730
AMERICA,UNITED STATES OF AMERICA,2006,Male,26308
AMERICA,UNITED STATES OF AMERICA,2006,Female,6992
AMERICA,UNITED STATES OF AMERICA,2007,Male,27272
AMERICA,UNITED STATES OF AMERICA,2007,Female,7330
AMERICA,UNITED STATES OF AMERICA,2008,Male,28450
AMERICA,UNITED STATES OF AMERICA,2008,Female,7585
AMERICA,UNITED STATES OF AMERICA,2009,Male,29091
AMERICA,UNITED STATES OF AMERICA,2009,Female,7821
AMERICA,UNITED STATES OF AMERICA,2010,Male,30281
AMERICA,UNITED STATES OF AMERICA,2010,Female,8088
AMERICA,UNITED STATES OF AMERICA,2011,Male,31003
AMERICA,UNITED STATES OF AMERICA,2011,Female,8515
AMERICA,UNITED STATES OF AMERICA,2012,Male,31780
AMERICA,UNITED STATES OF AMERICA,2012,Female,8820
AMERICA,UNITED STATES OF AMERICA,2013,Male,32055
AMERICA,UNITED STATES OF AMERICA,2013,Female,9094
AMERICA,UNITED STATES OF AMERICA,2014,Male,33113
AMERICA,UNITED STATES OF AMERICA,2014,Female,9660
AMERICA,UNITED STATES OF AMERICA,2015,Male,33994
AMERICA,UNITED STATES OF AMERICA,2015,Female,10199
AMERICA,UNITED STATES OF AMERICA,2016,Male,34727
AMERICA,UNITED STATES OF AMERICA,2016,Female,10238
AMERICA,UNITED STATES OF AMERICA,2017,Male,36782
AMERICA,UNITED STATES OF AMERICA,2017,Female,10391
AMERICA,UNITED STATES OF AMERICA,2018,Male,37761
AMERICA,UNITED STATES OF AMERICA,2018,Female,10583
AMERICA,UNITED STATES OF AMERICA,2019,Male,37256
AMERICA,UNITED STATES OF AMERICA,2019,Female,10255
AMERICA,UNITED STATES OF AMERICA,2020,Male,36551
AMERICA,UNITED STATES OF AMERICA,2020,Female,9428
AMERICA,UNITED STATES OF AMERICA,2021,Male,38358
AMERICA,UNITED STATES OF AMERICA,2021,Female,9825
ASIA,UZBEKISTAN,1991,Male,1049
ASIA,UZBEKISTAN,1991,Female,355
ASIA,UZBEKISTAN,1992,Male,1000
ASIA,UZBEKISTAN,1992,Female,348
ASIA,UZBEKISTAN,1993,Male,1006
ASIA,UZBEKISTAN,1993,Female,350
ASIA,UZBEKISTAN,1994,Male,1078
ASIA,UZBEKISTAN,1994,Female,342
ASIA,UZBEKISTAN,1995,Male,1155
ASIA,UZBEKISTAN,1995,Female,331
ASIA,UZBEKISTAN,1996,Male,1334
ASIA,UZBEKISTAN,1996,Female,367
ASIA,UZBEKISTAN,1997,Male,1206
ASIA,UZBEKISTAN,1997,Female,348
ASIA,UZBEKISTAN,1998,Male,1252
